cave_index,word_index,byte_offset,word,address_kind,original
0,0,0x00000000,0x3C013F00,plugin allocation; no vanilla game address,not applicable; injected code
0,1,0x00000004,0x44819000,plugin allocation; no vanilla game address,not applicable; injected code
0,2,0x00000008,0x46127BC2,plugin allocation; no vanilla game address,not applicable; injected code
0,3,0x0000000C,0x460F6300,plugin allocation; no vanilla game address,not applicable; injected code
0,4,0x00000010,0xE60C0030,plugin allocation; no vanilla game address,not applicable; injected code
0,5,0x00000014,0xC64C0014,plugin allocation; no vanilla game address,not applicable; injected code
0,6,0x00000018,0x46126302,plugin allocation; no vanilla game address,not applicable; injected code
0,7,0x0000001C,0x460C6B00,plugin allocation; no vanilla game address,not applicable; injected code
0,8,0x00000020,0xE60C0034,plugin allocation; no vanilla game address,not applicable; injected code
0,9,0x00000024,0xC64C0018,plugin allocation; no vanilla game address,not applicable; injected code
0,10,0x00000028,0x46126302,plugin allocation; no vanilla game address,not applicable; injected code
0,11,0x0000002C,0x460C7300,plugin allocation; no vanilla game address,not applicable; injected code
0,12,0x00000030,0xE60C0038,plugin allocation; no vanilla game address,not applicable; injected code
0,13,0x00000034,0xC64C0014,plugin allocation; no vanilla game address,not applicable; injected code
0,14,0x00000038,0xC6500008,plugin allocation; no vanilla game address,not applicable; injected code
0,15,0x0000003C,0x46128402,plugin allocation; no vanilla game address,not applicable; injected code
0,16,0x00000040,0x46106301,plugin allocation; no vanilla game address,not applicable; injected code
0,17,0x00000044,0xE64C0014,plugin allocation; no vanilla game address,not applicable; injected code
0,18,0x00000048,0x00000000,plugin allocation; no vanilla game address,not applicable; injected code
0,19,0x0000004C,0x00000000,plugin allocation; no vanilla game address,not applicable; injected code
0,20,0x00000050,0x00000000,plugin allocation; no vanilla game address,not applicable; injected code
0,21,0x00000054,0x00000000,plugin allocation; no vanilla game address,not applicable; injected code
0,22,0x00000058,0x00000000,plugin allocation; no vanilla game address,not applicable; injected code
0,23,0x0000005C,0x00000000,plugin allocation; no vanilla game address,not applicable; injected code
0,24,0x00000060,0x00000000,plugin allocation; no vanilla game address,not applicable; injected code
0,25,0x00000064,0x00000000,plugin allocation; no vanilla game address,not applicable; injected code
0,26,0x00000068,0x00000000,plugin allocation; no vanilla game address,not applicable; injected code
0,27,0x0000006C,0x00000000,plugin allocation; no vanilla game address,not applicable; injected code
0,28,0x00000070,0x00000000,plugin allocation; no vanilla game address,not applicable; injected code
0,29,0x00000074,0x00000000,plugin allocation; no vanilla game address,not applicable; injected code
0,30,0x00000078,0x00000000,plugin allocation; no vanilla game address,not applicable; injected code
0,31,0x0000007C,0x00000000,plugin allocation; no vanilla game address,not applicable; injected code
0,32,0x00000080,0x00000000,plugin allocation; no vanilla game address,not applicable; injected code
0,33,0x00000084,0x00000000,plugin allocation; no vanilla game address,not applicable; injected code
0,34,0x00000088,0x00000000,plugin allocation; no vanilla game address,not applicable; injected code
0,35,0x0000008C,0x00000000,plugin allocation; no vanilla game address,not applicable; injected code
0,36,0x00000090,0x00000000,plugin allocation; no vanilla game address,not applicable; injected code
0,37,0x00000094,0x00000000,plugin allocation; no vanilla game address,not applicable; injected code
0,38,0x00000098,0x00000000,plugin allocation; no vanilla game address,not applicable; injected code
0,39,0x0000009C,0x00000000,plugin allocation; no vanilla game address,not applicable; injected code
0,40,0x000000A0,0x00000000,plugin allocation; no vanilla game address,not applicable; injected code
0,41,0x000000A4,0x00000000,plugin allocation; no vanilla game address,not applicable; injected code
